idx,area,location_lat,location_lng
1,seoul,37.5594581,126.9753244
2,seoul,37.5604811,126.9865945
3,seoul,37.5751521,126.9942852
4,seoul,37.5753639,126.9767077
5,seoul,37.566712,127.0105574
6,seoul,37.5480279,126.9915704
7,seoul,37.5720355,127.0162866
8,seoul,37.5273241,126.9812649
9,seoul,37.4992979,126.9704171
10,seoul,37.5661548,126.8978371
11,seoul,37.5481265,127.0809237
12,seoul,37.5185634,127.1241813
13,seoul,37.511237,127.1000036
14,seoul,37.527041,126.9203791
15,jeonra,35.8140784,127.1522042
16,jeonra,35.7170865,127.0802318
17,jeonra,35.9831447,127.6624074
18,jeonra,35.955529,126.7510952
19,jeonra,35.7155868,127.0641536
20,jeonra,35.4926178,126.5854239
21,jeonra,35.6101681,127.294958
22,jeonra,36.1053141,127.3278093
23,jeonra,35.8112722,126.4599414
24,jeonra,35.9473273,126.9719195
25,jeonra,35.5943976,126.2840203
26,jeju,33.362029,126.5388644
27,jeju,33.2468709,126.5772244
28,jeju,33.4440272,126.913911
